"geoid","GEO.display-label","occ","oou","rou","mhi_occ","mhi_oou","mhi_rou","mhc_occ","mhc_oou","mhc_rou"
"25009210700","Census Tract 2107, Essex County, Massachusetts",1761,665,1096,46955,74676,40063,1124,1422,1040
"25009210800","Census Tract 2108, Essex County, Massachusetts",2302,554,1748,31563,86667,25338,969,1556,903
"25009210900","Census Tract 2109, Essex County, Massachusetts",1695,1062,633,61065,80909,28818,1254,1564,1108
"25009211100","Census Tract 2111, Essex County, Massachusetts",1543,991,552,76397,98393,44167,1469,1853,1103
"25009211200","Census Tract 2112, Essex County, Massachusetts",2678,1615,1063,63258,93477,36812,1267,1656,1111
"25009211300","Census Tract 2113, Essex County, Massachusetts",2461,2002,459,90022,97868,43083,1820,2001,1484
"25009211401","Census Tract 2114.01, Essex County, Massachusetts",1421,636,785,77301,95795,73053,1629,1441,1684
"25009211402","Census Tract 2114.02, Essex County, Massachusetts",2291,1892,399,84041,98731,37331,1677,1946,995
"25009212100","Census Tract 2121, Essex County, Massachusetts",2633,2172,461,108622,116276,60060,2014,2102,1750
"25009213100","Census Tract 2131, Essex County, Massachusetts",2713,2661,52,140268,142875,39545,2578,2587,
"25009214100","Census Tract 2141, Essex County, Massachusetts",2282,2111,171,114565,130708,20250,2156,2215,
"25009215101","Census Tract 2151.01, Essex County, Massachusetts",1645,1306,339,125703,150357,40750,1864,2412,1095
"25009215102","Census Tract 2151.02, Essex County, Massachusetts",1083,875,208,94755,102104,50259,1491,1703,1237
"25009216100","Census Tract 2161, Essex County, Massachusetts",1372,1224,148,109250,123846,36458,1908,2169,920
"25009217100","Census Tract 2171, Essex County, Massachusetts",3062,1941,1121,87135,104886,36631,1510,2019,1290
"25009217201","Census Tract 2172.01, Essex County, Massachusetts",1760,1126,634,69605,96923,44722,1459,1946,1170
"25009217202","Census Tract 2172.02, Essex County, Massachusetts",1456,1202,254,90357,102237,42750,1539,1748,1181
"25009217300","Census Tract 2173, Essex County, Massachusetts",1865,948,917,45543,71645,28324,1104,1476,913
"25009217400","Census Tract 2174, Essex County, Massachusetts",2733,987,1746,55781,79430,38625,1131,1631,1023
"25009217500","Census Tract 2175, Essex County, Massachusetts",2683,1558,1125,71994,112409,41030,1428,1995,1084
"25009217600","Census Tract 2176, Essex County, Massachusetts",2554,2000,554,92310,120598,26649,1811,2265,1161
"25009218100","Census Tract 2181, Essex County, Massachusetts",2063,1355,708,95243,146458,52438,2091,2482,1339
"25009220101","Census Tract 2201.01, Essex County, Massachusetts",1849,1206,643,66151,94318,32906,1222,1549,981
"25009220102","Census Tract 2201.02, Essex County, Massachusetts",1433,1012,421,61971,74519,43239,1416,1527,1024
"25009221100","Census Tract 2211, Essex County, Massachusetts",1834,1456,378,85593,102661,58143,1609,1849,976
"25009221300","Census Tract 2213, Essex County, Massachusetts",1994,1419,575,78611,100524,35284,1512,1875,1186
"25009221400","Census Tract 2214, Essex County, Massachusetts",1359,724,635,50451,72750,36222,983,1230,904
"25009221500","Census Tract 2215, Essex County, Massachusetts",1370,347,1023,37123,80781,30688,904,1361,844
"25009221600","Census Tract 2216, Essex County, Massachusetts",982,492,490,46250,61786,35278,1151,1363,886
"25009221700","Census Tract 2217, Essex County, Massachusetts",1073,576,497,46367,63750,38194,1072,1210,995
"25009221800","Census Tract 2218, Essex County, Massachusetts",641,566,75,82734,86750,44464,1386,1447,1168
"25009221901","Census Tract 2219.01, Essex County, Massachusetts",1424,953,471,83636,99306,49531,1412,1858,984
"25009221902","Census Tract 2219.02, Essex County, Massachusetts",1626,1171,455,67847,86569,50512,1367,1809,1097
"25009222100","Census Tract 2221, Essex County, Massachusetts",1425,1022,403,92396,112857,50332,1653,2115,1170
"25009223100","Census Tract 2231, Essex County, Massachusetts",1719,1191,528,62335,80134,42628,1516,1792,1046
"25009223200","Census Tract 2232, Essex County, Massachusetts",1607,1016,591,59158,87500,31655,1118,1599,928
"25009223300","Census Tract 2233, Essex County, Massachusetts",2209,1859,350,96250,103420,70724,1724,1812,1172
"25009250100","Census Tract 2501, Essex County, Massachusetts",1368,16,1352,18036,,17679,677,,663
"25009250200","Census Tract 2502, Essex County, Massachusetts",1745,798,947,46743,65750,33652,1223,1736,1051
"25009250300","Census Tract 2503, Essex County, Massachusetts",651,135,516,41435,60268,37097,1035,1010,1037
"25009250400","Census Tract 2504, Essex County, Massachusetts",1308,206,1102,21236,53750,20302,967,1583,864
"25009250500","Census Tract 2505, Essex County, Massachusetts",1120,293,827,34595,40893,32244,1077,2181,1021
"25009250600","Census Tract 2506, Essex County, Massachusetts",1606,565,1041,47910,67538,33380,1187,1594,1125
"25009250700","Census Tract 2507, Essex County, Massachusetts",1480,351,1129,35300,55114,30344,1179,1885,1108
"25009250800","Census Tract 2508, Essex County, Massachusetts",2381,874,1507,38323,65833,34072,1182,1334,1150
"25009250900","Census Tract 2509, Essex County, Massachusetts",774,90,684,24490,65833,21923,850,1875,802
"25009251000","Census Tract 2510, Essex County, Massachusetts",532,102,430,33500,60625,27813,937,1650,856
"25009251100","Census Tract 2511, Essex County, Massachusetts",1283,114,1169,,,,578,1375,491
"25009251200","Census Tract 2512, Essex County, Massachusetts",603,42,561,16811,95500,15740,742,1631,704
"25009251300","Census Tract 2513, Essex County, Massachusetts",1126,171,955,26216,62153,24449,877,1171,845
"25009251400","Census Tract 2514, Essex County, Massachusetts",1534,458,1076,34675,57500,27000,1085,1590,1034
"25009251500","Census Tract 2515, Essex County, Massachusetts",2212,392,1820,33981,63500,32333,1030,1370,1001
"25009251600","Census Tract 2516, Essex County, Massachusetts",1914,455,1459,37606,72321,26345,1188,1592,1131
"25009251700","Census Tract 2517, Essex County, Massachusetts",1862,575,1287,44070,61354,39131,1198,1405,1146
"25009251800","Census Tract 2518, Essex County, Massachusetts",2995,1848,1147,64457,74522,44390,1170,1432,1074
"25009252101","Census Tract 2521.01, Essex County, Massachusetts",1449,916,533,68869,82742,42476,1214,1404,984
"25009252102","Census Tract 2521.02, Essex County, Massachusetts",1458,1367,91,,,,1568,1670,978
"25009252201","Census Tract 2522.01, Essex County, Massachusetts",1201,844,357,74561,93404,28472,1217,1526,913
"25009252202","Census Tract 2522.02, Essex County, Massachusetts",1053,1010,43,96086,96000,96116,1401,1448,1112
"25009252300","Census Tract 2523, Essex County, Massachusetts",2654,1256,1398,48622,78197,28684,1168,1634,979
"25009252400","Census Tract 2524, Essex County, Massachusetts",1313,457,856,43194,73047,32466,1109,1853,1034
"25009252501","Census Tract 2525.01, Essex County, Massachusetts",1391,955,436,59583,85026,45774,1316,1369,1273
"25009252502","Census Tract 2525.02, Essex County, Massachusetts",1667,1424,243,67153,79516,24632,1463,1562,1131
"25009252601","Census Tract 2526.01, Essex County, Massachusetts",2739,2200,539,75038,84767,40625,1347,1460,1136
"25009252602","Census Tract 2526.02, Essex County, Massachusetts",1438,1125,313,101595,115391,43155,1895,2135,1465
"25009252603","Census Tract 2526.03, Essex County, Massachusetts",1088,886,202,79712,86250,63468,1539,1659,1102
"25009253100","Census Tract 2531, Essex County, Massachusetts",2406,1377,1029,72891,88319,44260,1440,1752,1271
"25009253201","Census Tract 2532.01, Essex County, Massachusetts",1181,739,442,70935,88914,31397,1287,1845,1014
"25009253202","Census Tract 2532.02, Essex County, Massachusetts",2445,1326,1119,72271,103438,46441,1522,1846,1412
"25009253203","Census Tract 2532.03, Essex County, Massachusetts",1534,1360,174,143426,152500,46250,2780,2823,1693
"25009253204","Census Tract 2532.04, Essex County, Massachusetts",1878,1751,127,,,,2393,2490,1834
"25009253205","Census Tract 2532.05, Essex County, Massachusetts",1386,1311,75,156429,162188,25057,2887,2944,2484
"25009254100","Census Tract 2541, Essex County, Massachusetts",2536,1914,622,90236,118182,40606,1823,2180,990
"25009254200","Census Tract 2542, Essex County, Massachusetts",1858,1045,813,70066,147083,30542,1412,2275,957
"25009254301","Census Tract 2543.01, Essex County, Massachusetts",1277,1131,146,156995,156773,160833,2779,2787,
"25009254302","Census Tract 2543.02, Essex County, Massachusetts",1605,1555,50,152604,159844,90417,2427,2503,1333
"25009254401","Census Tract 2544.01, Essex County, Massachusetts",1126,883,243,129600,147132,90144,2113,2250,1922
"25009254402","Census Tract 2544.02, Essex County, Massachusetts",2491,2048,443,151875,162748,74622,2117,2514,1445
"25009254403","Census Tract 2544.03, Essex County, Massachusetts",1281,1183,98,,,,2487,2557,
"25009260100","Census Tract 2601, Essex County, Massachusetts",2330,479,1851,31964,70188,26428,1006,1367,940
"25009260200","Census Tract 2602, Essex County, Massachusetts",1588,386,1202,38091,101700,24477,1091,1670,1001
"25009260301","Census Tract 2603.01, Essex County, Massachusetts",1695,1277,418,76563,90565,24048,1502,1719,1120
"25009260302","Census Tract 2603.02, Essex County, Massachusetts",1083,953,130,,,,1667,1954,716
"25009260401","Census Tract 2604.01, Essex County, Massachusetts",1583,1307,276,70878,77198,50524,1298,1425,1068
"25009260402","Census Tract 2604.02, Essex County, Massachusetts",2435,2152,283,93240,99167,52278,1557,1654,1031
"25009260500","Census Tract 2605, Essex County, Massachusetts",1391,1039,352,83882,98250,47857,1470,2009,1198
"25009260600","Census Tract 2606, Essex County, Massachusetts",1236,453,783,48534,53795,47284,1352,1759,1254
"25009260700","Census Tract 2607, Essex County, Massachusetts",1788,1141,647,52656,64848,31685,1171,1507,1005
"25009260800","Census Tract 2608, Essex County, Massachusetts",1673,499,1174,37227,61250,34605,1093,1377,1054
"25009260900","Census Tract 2609, Essex County, Massachusetts",1861,1186,675,51125,76579,22264,1136,1490,847
"25009261000","Census Tract 2610, Essex County, Massachusetts",1500,862,638,65672,73922,33793,1329,1626,1177
"25009261101","Census Tract 2611.01, Essex County, Massachusetts",1641,1494,147,83958,99211,52962,1772,1798,1464
"25009261102","Census Tract 2611.02, Essex County, Massachusetts",1977,1277,700,67259,82168,39797,1155,1324,1043
"25009262100","Census Tract 2621, Essex County, Massachusetts",2528,2160,368,73986,91359,35690,1558,1627,1151
"25009263100","Census Tract 2631, Essex County, Massachusetts",1518,1410,108,131167,137554,43889,2131,2177,
"25009264100","Census Tract 2641, Essex County, Massachusetts",2385,1917,468,95208,103388,49333,1649,1915,1096
"25009265101","Census Tract 2651.01, Essex County, Massachusetts",1448,1187,261,104000,114781,38813,1751,2062,945
"25009265102","Census Tract 2651.02, Essex County, Massachusetts",1667,1417,250,110393,124567,55357,1912,2070,1634
"25009266100","Census Tract 2661, Essex County, Massachusetts",1652,1363,289,90298,101484,27361,1792,1966,1067
"25009266200","Census Tract 2662, Essex County, Massachusetts",2231,1570,661,75826,97672,40282,1669,2030,985
"25009266300","Census Tract 2663, Essex County, Massachusetts",1617,1089,528,68657,84219,39737,1481,1599,1065
"25009266400","Census Tract 2664, Essex County, Massachusetts",1555,977,578,70544,95481,47222,1392,1863,995
"25009267101","Census Tract 2671.01, Essex County, Massachusetts",1610,984,626,65625,77372,43269,1149,1367,995
"25009267102","Census Tract 2671.02, Essex County, Massachusetts",1836,1540,296,75385,84881,30612,1537,1616,1150
"25009268100","Census Tract 2681, Essex County, Massachusetts",839,820,19,,,,2416,2436,
"25009268200","Census Tract 2682, Essex County, Massachusetts",2558,2017,541,84625,116958,40865,1595,1780,1202
"25009268300","Census Tract 2683, Essex County, Massachusetts",2115,1270,845,59926,86968,41269,1404,1706,1038
"25009268400","Census Tract 2684, Essex County, Massachusetts",2043,1428,615,92790,117407,48963,1487,1711,1063
"25009269100","Census Tract 2691, Essex County, Massachusetts",2693,2162,531,91168,107955,59648,1768,1893,1246
"25009270100","Census Tract 2701, Essex County, Massachusetts",2219,1860,359,86820,101389,48125,1748,1851,1054
"25009990100","Census Tract 9901, Essex County, Massachusetts",0,0,0,,,,,,
"25011040100","Census Tract 401, Franklin County, Massachusetts",1887,1515,372,52899,57480,37885,936,927,950
"25011040200","Census Tract 402, Franklin County, Massachusetts",1810,1529,281,66094,71393,38542,1142,1183,888
"25011040300","Census Tract 403, Franklin County, Massachusetts",1234,964,270,63491,85076,45532,1056,1269,807
"25011040400","Census Tract 404, Franklin County, Massachusetts",1478,1225,253,53777,61198,24625,943,969,885
"25011040501","Census Tract 405.01, Franklin County, Massachusetts",1735,1044,691,36875,52440,15851,804,1012,721
"25011040502","Census Tract 405.02, Franklin County, Massachusetts",1513,1163,350,41375,51385,20326,810,998,635
"25011040600","Census Tract 406, Franklin County, Massachusetts",2023,1777,246,77011,82120,34688,1377,1436,1114
"25011040701","Census Tract 407.01, Franklin County, Massachusetts",1769,808,961,40750,57328,26484,910,1210,819
"25011040702","Census Tract 407.02, Franklin County, Massachusetts",1799,1441,358,60313,66736,25862,953,1102,663
"25011040800","Census Tract 408, Franklin County, Massachusetts",2119,1176,943,54306,74779,32070,1200,1241,1185
"25011040900","Census Tract 409, Franklin County, Massachusetts",2016,1444,572,74853,82273,50395,1065,1127,1019
"25011041000","Census Tract 410, Franklin County, Massachusetts",1393,1107,286,,,,1125,1254,828
"25011041100","Census Tract 411, Franklin County, Massachusetts",1623,1226,397,65925,73438,40474,1110,1248,837
"25011041200","Census Tract 412, Franklin County, Massachusetts",1298,946,352,54306,59844,48261,1026,1103,905
"25011041300","Census Tract 413, Franklin County, Massachusetts",2339,770,1569,36864,58287,28250,861,1231,829
"25011041400","Census Tract 414, Franklin County, Massachusetts",1078,347,731,32500,54779,25259,760,920,724
"25011041501","Census Tract 415.01, Franklin County, Massachusetts",1442,1226,216,73750,83396,43167,1194,1287,909
"25011041502","Census Tract 415.02, Franklin County, Massachusetts",1646,1126,520,54891,71757,40677,902,1052,825
